hour_of_day,day_type,average_footfall,average_orders,average_wait_minutes,congestion_level
7,Weekday,15,8,4,Low
8,Weekday,45,32,12,Moderate
9,Weekday,80,65,18,High
10,Weekday,35,22,8,Low
11,Weekday,40,28,9,Moderate
12,Weekday,110,95,24,Peak
13,Weekday,130,115,28,Peak
14,Weekday,65,48,14,Moderate
15,Weekday,30,18,6,Low
16,Weekday,75,60,16,High
17,Weekday,90,75,20,High
18,Weekday,50,35,10,Moderate
19,Weekday,60,45,12,Moderate
20,Weekday,40,25,8,Low
7,Weekend,10,5,3,Low
8,Weekend,25,15,6,Low
9,Weekend,45,30,10,Moderate
10,Weekend,30,18,6,Low
11,Weekend,35,20,7,Low
12,Weekend,70,55,15,High
13,Weekend,85,68,18,High
14,Weekend,50,35,10,Moderate
15,Weekend,25,12,5,Low
16,Weekend,50,38,11,Moderate
17,Weekend,60,45,13,Moderate
18,Weekend,40,28,8,Low
19,Weekend,45,30,9,Low
20,Weekend,30,18,6,Low
